id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order
gravitydecrease,N-Brane Oscillator,120,120,,15,,,structure,,graphics/icons/industry/gravityadjust.png,kentington.diyplanets.GravityDecrease,"The planet-spanning infrastructure needed to operate an n-brane oscillator core. This nearly mythic piece of Domain-era technology can permanently adjust the gravitational constant in a region of spacetime; obviously, the infrastructure is useless without one.",441
waterreceiver2,Cometary Capture Infrastructure,120,120,,15,,,structure,,graphics/icons/industry/watercapture.png,kentington.diyplanets.WaterReceiver2,"Centralized infrastructure for launching vast numbers of semi-autonomous drones which seek out and redirect water-bearing asteroids, gradually creating a stable hydrosphere on this planet. This process is slower and more expensive than directly transferring water from another colonized planet, but can be performed almost anywhere.",439
radremoval,Irradicator,100,100,,12,,,structure,,graphics/icons/industry/radremoval.png,kentington.diyplanets.RadRemover,"The planet-spanning infrastructure needed to operate an irradicator core. This nearly mythic piece of Domain-era technology can accelerate the decay of radioactive isotopes, cleansing an irradiated planet; obviously, the infrastructure is useless without one.",440
radoreremoval,Irradicator (ore removal),60,60,,8,,,structure,,graphics/icons/industry/radremoval.png,kentington.diyplanets.RadRemover2,"The planet-spanning infrastructure needed to operate an irradicator core. This nearly mythic piece of Domain-era technology can accelerate the decay of radioactive isotopes, removing rare ore deposits from a habitable world; obviously, the infrastructure is useless without one.",441
radoreremoval2,Irradicator (ore removal),60,60,,8,,,structure,,graphics/icons/industry/radremoval.png,kentington.diyplanets.RadRemover3,"The planet-spanning infrastructure needed to operate an irradicator core. This nearly mythic piece of Domain-era technology can accelerate the decay of radioactive isotopes, removing rare ore deposits from a habitable world; obviously, the infrastructure is useless without one.",442
radoreremoval3,Irradicator (ore removal),60,60,,8,,,structure,,graphics/icons/industry/radremoval.png,kentington.diyplanets.RadRemover4,"The planet-spanning infrastructure needed to operate an irradicator core. This nearly mythic piece of Domain-era technology can accelerate the decay of radioactive isotopes, removing rare ore deposits from a habitable world; obviously, the infrastructure is useless without one.",443
radoreremoval4,Irradicator (ore removal),60,60,,8,,,structure,,graphics/icons/industry/radremoval.png,kentington.diyplanets.RadRemover5,"The planet-spanning infrastructure needed to operate an irradicator core. This nearly mythic piece of Domain-era technology can accelerate the decay of radioactive isotopes, removing rare ore deposits from a habitable world; obviously, the infrastructure is useless without one.",444
radoreremoval5,Irradicator (ore removal),60,60,,8,,,structure,,graphics/icons/industry/radremoval.png,kentington.diyplanets.RadRemover6,"The planet-spanning infrastructure needed to operate an irradicator core. This nearly mythic piece of Domain-era technology can accelerate the decay of radioactive isotopes, removing rare ore deposits from a habitable world; obviously, the infrastructure is useless without one.",445
gravitylow,N-Brane Oscillator (low gravity),120,120,,15,,,structure,,graphics/icons/industry/gravityadjust.png,kentington.diyplanets.LowGrav,"The planet-spanning infrastructure needed to operate an n-brane oscillator core, tweaked to produce a low-gravity planet. This nearly mythic piece of Domain-era technology can permanently adjust the gravitational constant in a region of spacetime; obviously, the infrastructure is useless without one.

WARNING: This structure will add the “Low Gravity” hazard.",446
atmoremover,Atmospheric Removal,80,90,,10,,,structure,,graphics/icons/industry/atmosphericpump.png,kentington.diyplanets.AtmoRemover,"Enormous pumps and intake stacks drain the planet's atmosphere into subterranean facilities where gases are chemically transmuted into stable solids. Without Domain-era technology, this can reduce the thickness of a planet’s atmosphere, but cannot eliminate it entirely.

WARNING: This structure will add the “No Atmosphere” hazard.",447
